epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,643.631,1.0796,2.81922,1.38924,0.56244,0.14122,0.33994,0.22658,1.10752,3.28258,1.45499,0.0003636,0.0003636,0.0003636
2,1238.44,1.18915,2.32859,1.46112,0.28992,0.4112,0.28929,0.15022,1.47219,3.41464,1.88233,0.000719401,0.000719401,0.000719401
3,1832.21,1.21208,2.20737,1.49644,0.36251,0.37901,0.26153,0.15867,1.53441,3.67155,1.98535,0.00106054,0.00106054,0.00106054
4,2424.7,1.22294,2.16684,1.49198,0.43846,0.2718,0.24272,0.10861,1.812,3.26792,2.26756,0.00104501,0.00104501,0.00104501
5,3021.51,1.23184,2.11244,1.48588,0.48708,0.33162,0.2807,0.15916,1.519,3.11373,1.91009,0.00102301,0.00102301,0.00102301
6,3615.34,1.17888,1.96076,1.44573,0.245,0.35857,0.24675,0.16331,1.44988,2.85227,1.88387,0.00100101,0.00100101,0.00100101
7,4209.04,1.14195,1.83902,1.43736,0.44994,0.37199,0.36499,0.20697,1.55712,2.58267,1.85269,0.000979013,0.000979013,0.000979013
8,4799.13,1.16711,1.81399,1.43535,0.33374,0.40422,0.32936,0.19731,1.44681,2.48008,1.77294,0.000957015,0.000957015,0.000957015
9,5390.49,1.13248,1.73441,1.39752,0.57667,0.39196,0.37082,0.2247,1.54192,2.55184,1.81963,0.000935018,0.000935018,0.000935018
10,5981.66,1.11131,1.66996,1.39677,0.43889,0.47678,0.43473,0.26951,1.37342,2.24671,1.69366,0.00091302,0.00091302,0.00091302
11,6570.38,1.05872,1.55143,1.35812,0.57528,0.45545,0.46705,0.31053,1.40341,2.03758,1.71564,0.000891022,0.000891022,0.000891022
12,7163.69,1.08908,1.53461,1.37331,0.6243,0.4582,0.47072,0.31494,1.40424,2.1417,1.7334,0.000869024,0.000869024,0.000869024
13,7776.39,1.04507,1.44905,1.33281,0.36696,0.47537,0.34904,0.20162,1.56695,2.27868,1.81716,0.000847026,0.000847026,0.000847026
14,8529.37,1.01183,1.36585,1.33498,0.43988,0.4846,0.45361,0.30626,1.32056,2.07098,1.62696,0.000825029,0.000825029,0.000825029
15,9221.52,0.99998,1.35801,1.32024,0.61982,0.46421,0.5147,0.34921,1.32988,1.89589,1.64258,0.000803031,0.000803031,0.000803031
16,9907.76,0.98425,1.28421,1.30641,0.50627,0.43576,0.44457,0.28339,1.30954,2.31084,1.62811,0.000781033,0.000781033,0.000781033
17,10572.4,0.97065,1.24821,1.29862,0.60192,0.4301,0.49093,0.34299,1.34377,1.99233,1.67375,0.000759035,0.000759035,0.000759035
18,11262.5,0.96913,1.22629,1.28333,0.53995,0.52958,0.52647,0.36311,1.29454,1.83766,1.64056,0.000737037,0.000737037,0.000737037
19,11970.8,0.95225,1.21146,1.27603,0.64745,0.40105,0.47365,0.31013,1.33959,1.95085,1.6727,0.00071504,0.00071504,0.00071504
20,12663.8,0.95092,1.18785,1.27247,0.62666,0.54043,0.54999,0.35072,1.35848,1.83695,1.71579,0.000693042,0.000693042,0.000693042
